airport_id,name,city,country_id,iata,icao,latitude,longitude,altitude_ft,timezone_hrs,dst,tz,type,source
2499,Perito Moreno Airport,Perito Moreno,59,PMQ,SAWP,-46.537899,-70.978699,1410,-3.0,N,America/Argentina/Rio_Gallegos,airport,OurAirports
818,Johan Pienaar Airport,Kuruman,258,KMH,FAKU,-27.45669937133789,23.411399841308597,4382,2.0,U,Africa/Johannesburg,airport,OurAirports
11903,Jam Airport,Kangan,152,KNR,OIBJ,27.820499420166016,52.35219955444336,2173,,N,N,airport,OurAirports
2353,Iruma Air Base,Iruma,159,N,RJTJ,35.84189987182617,139.41099548339844,295,9.0,U,Asia/Tokyo,airport,OurAirports
3770,Texarkana Regional Webb Field,Texarkana,288,TXK,KTXK,33.45370101928711,-93.99099731445312,390,-6.0,A,America/Chicago,airport,OurAirports
7710,Mezen Airport,Mezen,234,N,ULAE,65.87833404541016,44.21500015258789,46,3.0,N,Europe/Moscow,airport,OurAirports
1621,Aerodromo Municipal de Coimbra,Coimba,226,N,LPCO,40.158758,-8.470815,587,0.0,E,Europe/Lisbon,airport,OurAirports
9068,Brampton Island Airport,Brampton Island,62,BMP,YBPI,-20.803300857543945,149.27000427246094,11,10.0,O,Australia/Brisbane,airport,OurAirports
8332,Wau Airport,Wau,263,WUU,HSWW,7.725830078119999,27.9750003815,1529,3.0,U,Africa/Juba,airport,OurAirports
11088,Ulysses Airport,Ulysses,288,N,KULS,37.60400009,-101.3740005,3071,-5.0,A,N,airport,OurAirports
9243,Edenvale Aerodrome,Edenvale,88,N,CNV8,44.441101,-79.962799,718,-5.0,A,America/Toronto,airport,OurAirports
3383,Xiamen Gaoqi International Airport,Xiamen,95,XMN,ZSAM,24.54400062561035,118.12799835205078,59,8.0,U,Asia/Shanghai,airport,OurAirports
1298,Pamiers-Les Pujols Airport,Pamiers,127,N,LFDJ,43.090599060058594,1.69582998752594,1115,1.0,E,Europe/Paris,airport,OurAirports
2467,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,59,LUQ,SAOU,-33.2732009888,-66.3563995361,2328,-3.0,N,America/Argentina/San_Luis,airport,OurAirports
6306,Maryborough Airport,Maryborough,62,MBH,YMYB,-25.5133,152.714996,38,10.0,O,Australia/Brisbane,airport,OurAirports
13018,Las Vegas Helicopters Heliport,Las vegas,288,N,NV03,36.10810089111328,-115.17400360107422,2133,-8.0,A,N,airport,OurAirports
11180,Resende Airport,Resende,78,REZ,SDRS,-22.4785003662,-44.4803009033,1320,-3.0,S,N,airport,OurAirports
516,Barrow Walney Island Airport,Barrow Island,287,BWF,EGNL,54.1286111,-3.2675,173,0.0,E,Europe/London,airport,OurAirports
5742,Tri-State/Milton J. Ferguson Field,Huntington,288,HTS,KHTS,38.36669922,-82.55799866,828,-5.0,A,America/New_York,airport,OurAirports
5894,Sola Airport,Sola,292,SLH,NVSC,-13.8516998291,167.537002563,7,11.0,U,Pacific/Efate,airport,OurAirports
3075,Tejgaon Airport,Dhaka,67,N,VGTJ,23.77879905700684,90.38269805908205,24,6.0,U,Asia/Dhaka,airport,OurAirports
13551,Frankfort Dow Memorial Field,Frankfort,288,N,KFKS,44.62519836425781,-86.20079803466797,633,-5.0,A,N,airport,OurAirports
5507,Waskaganish Airport,Waskaganish,88,YKQ,CYKQ,51.47330093383789,-78.75830078125,80,-5.0,A,America/Toronto,airport,OurAirports
1205,Rijeka Airport,Rijeka,104,RJK,LDRI,45.21689987182617,14.570300102233888,278,1.0,E,Europe/Zagreb,airport,OurAirports
1082,Cap Skirring Airport,Cap Skiring,248,CSK,GOGS,12.39533,-16.748,52,0.0,N,Africa/Dakar,airport,OurAirports
8777,Lake Placid Airport,Lake Placid,288,LKP,KLKP,44.2644996643,-73.96189880370001,1747,-5.0,A,America/New_York,airport,OurAirports
13268,Blaise Diagne International Airport,Diass,248,DSS,GOBD,14.67,-17.073333,290,0.0,N,N,airport,OurAirports
